division,job_category,Weight,division_name
ale,administration,4,ale
ale,agricole,71,ale
ale,artisanat,29,ale
ale,commerce,7,ale
ale,construction,34,ale
ale,rente,18,ale
ale,service,19,ale
grand_st_jean,administration,11,grand_st_jean
grand_st_jean,agricole,14,grand_st_jean
grand_st_jean,artisanat,77,grand_st_jean
grand_st_jean,commerce,17,grand_st_jean
grand_st_jean,construction,16,grand_st_jean
grand_st_jean,rente,46,grand_st_jean
grand_st_jean,service,35,grand_st_jean
barre,administration,3,barre
barre,agricole,33,barre
barre,artisanat,24,barre
barre,commerce,15,barre
barre,construction,26,barre
barre,rente,16,barre
barre,service,27,barre
rue_du_pont,administration,3,rue_du_pont
rue_du_pont,agricole,42,rue_du_pont
rue_du_pont,artisanat,91,rue_du_pont
rue_du_pont,commerce,44,rue_du_pont
rue_du_pont,construction,26,rue_du_pont
rue_du_pont,rente,30,rue_du_pont
rue_du_pont,service,44,rue_du_pont
chailly,agricole,44,chailly
chailly,artisanat,7,chailly
chailly,construction,4,chailly
chailly,rente,7,chailly
chailly,service,1,chailly
bourg,administration,3,bourg
bourg,agricole,3,bourg
bourg,artisanat,39,bourg
bourg,commerce,27,bourg
bourg,construction,5,bourg
bourg,rente,50,bourg
bourg,service,30,bourg
ouchy,administration,2,ouchy
ouchy,agricole,122,ouchy
ouchy,artisanat,12,ouchy
ouchy,commerce,8,ouchy
ouchy,construction,5,ouchy
ouchy,rente,140,ouchy
ouchy,service,22,ouchy
cheneau_de_bourg,administration,1,cheneau_de_bourg
cheneau_de_bourg,agricole,32,cheneau_de_bourg
cheneau_de_bourg,artisanat,61,cheneau_de_bourg
cheneau_de_bourg,commerce,9,cheneau_de_bourg
cheneau_de_bourg,construction,21,cheneau_de_bourg
cheneau_de_bourg,rente,14,cheneau_de_bourg
cheneau_de_bourg,service,27,cheneau_de_bourg
palud,administration,1,palud
palud,agricole,8,palud
palud,artisanat,43,palud
palud,commerce,22,palud
palud,construction,11,palud
palud,rente,28,palud
palud,service,21,palud
la_sallaz,agricole,48,la_sallaz
la_sallaz,artisanat,6,la_sallaz
la_sallaz,construction,4,la_sallaz
la_sallaz,rente,7,la_sallaz
la_sallaz,service,7,la_sallaz
montee_de_st_laurent,agricole,13,montee_de_st_laurent
montee_de_st_laurent,artisanat,23,montee_de_st_laurent
montee_de_st_laurent,commerce,8,montee_de_st_laurent
montee_de_st_laurent,construction,6,montee_de_st_laurent
montee_de_st_laurent,rente,5,montee_de_st_laurent
montee_de_st_laurent,service,13,montee_de_st_laurent
montee_st_francois,agricole,8,montee_st_francois
montee_st_francois,artisanat,32,montee_st_francois
montee_st_francois,commerce,18,montee_st_francois
montee_st_francois,construction,5,montee_st_francois
montee_st_francois,rente,12,montee_st_francois
montee_st_francois,service,20,montee_st_francois
place_st_francois,administration,4,place_st_francois
place_st_francois,agricole,7,place_st_francois
place_st_francois,artisanat,15,place_st_francois
place_st_francois,commerce,16,place_st_francois
place_st_francois,construction,2,place_st_francois
place_st_francois,rente,58,place_st_francois
place_st_francois,service,26,place_st_francois
cite_dessous,administration,2,cite_dessous
cite_dessous,agricole,19,cite_dessous
cite_dessous,artisanat,31,cite_dessous
cite_dessous,construction,16,cite_dessous
cite_dessous,rente,25,cite_dessous
cite_dessous,service,23,cite_dessous
st_laurent,administration,7,st_laurent
st_laurent,agricole,30,st_laurent
st_laurent,artisanat,48,st_laurent
st_laurent,commerce,15,st_laurent
st_laurent,construction,28,st_laurent
st_laurent,rente,25,st_laurent
st_laurent,service,40,st_laurent
cite_derriere,administration,17,cite_derriere
cite_derriere,agricole,22,cite_derriere
cite_derriere,artisanat,45,cite_derriere
cite_derriere,commerce,6,cite_derriere
cite_derriere,construction,23,cite_derriere
cite_derriere,rente,43,cite_derriere
cite_derriere,service,30,cite_derriere
marterey,administration,5,marterey
marterey,agricole,82,marterey
marterey,artisanat,93,marterey
marterey,commerce,17,marterey
marterey,construction,39,marterey
marterey,rente,110,marterey
marterey,service,77,marterey
grange_neuve,agricole,23,grange_neuve
grange_neuve,artisanat,2,grange_neuve
grange_neuve,construction,1,grange_neuve
grange_neuve,service,3,grange_neuve
